,category,total_likes
0,Autos & Vehicles,10590.993790567243
1,Comedy,142570.04790918026
2,Education,38999.530536380844
3,Entertainment,405064.54030594043
4,Film & Animation,69618.59339072868
5,Gaming,33684.928317090766
6,Howto & Style,83567.9180457937
7,Movies,289.2363917665881
8,Music,181722.70585859971
9,News & Politics,100486.36338282134
10,Nonprofits & Activism,2116.2353621892726
11,People & Blogs,110350.60904524487
12,Pets & Animals,13692.780758709114
13,Science & Technology,45313.33127633393
14,Shows,3989.1187346917245
15,Sports,75257.53338580497
16,Trailers,8.941807118363162
17,Travel & Events,7561.572164224283
