,category,total_views
0,Autos & Vehicles,16144.897366078083
1,Comedy,189767.81144921985
2,Education,54411.7393694717
3,Entertainment,616468.439138313
4,Film & Animation,101666.46195969226
5,Gaming,44973.65384135625
6,Howto & Style,114190.2483775459
7,Movies,428.3991680329428
8,Music,242514.85162706833
9,News & Politics,172589.80883985577
10,Nonprofits & Activism,3658.9394088346808
11,People & Blogs,168525.15530645917
12,Pets & Animals,18846.490602694183
13,Science & Technology,62107.792521653515
14,Shows,6402.738495497376
15,Sports,116579.84363866266
16,Trailers,17.241669946821126
17,Travel & Events,10935.546641101853
